,title,length,views,url
0,✨maquillándome con audios misoginos ✨#misoginia #feminismo #machismo #makeup #reels #beautyblogger,14,13320,https://www.youtube.com/watch?v=Yx2_vnaAmQU
1,Desmantelando el machismo El sexismo no tiene género #podcast #clips #entrevista #feminismo #genero,59,3824836,https://www.youtube.com/watch?v=o2vOR9KxPWM
2,La junta directiva de amigas feministas #redpill #podcast #feminismo,54,155662,https://www.youtube.com/watch?v=RsrebQRPbDU
3,danann doma a feminista en vivo 🗽#debate #liberal #fyp #shorts,55,1645162,https://www.youtube.com/watch?v=wL9DzFb18Fo
4,Se Pone TENSO Cuando Asume Que NO MANTENDRÍA A Una Mujer 😳 #shorts,40,690160,https://www.youtube.com/watch?v=hvf1xrPpjZc
5,DEBATE FEMINISTA #feminismo #debate #worldcast #podcast #patriarcado,54,44392,https://www.youtube.com/watch?v=9dKCS7msmcE
6,igualdad o privilegio #feminista #feminismo #patriarcado #misoginia,15,2678,https://www.youtube.com/watch?v=esAH2bPPdWs
7,PAGO MÁS POR TENER 🍆🍆#podcast #feminismo #machismo #autonomo #igualdad #injusticia #desigualdad,27,10463,https://www.youtube.com/watch?v=coTFErbfEAY
8,España es el ejemplo claro de feminismo radical. #feminismo #españa #desigualdad #redpill,43,862,https://www.youtube.com/watch?v=JieqKVw_Qvk
9,Doble moral… #critica #social #españa #feminismo #género #desigualdad #machismo,43,1707,https://www.youtube.com/watch?v=WVFPfbN37IU
10,Recibo hate por mi edad y respondo 🤬,48,7141417,https://www.youtube.com/watch?v=VUh9Jgr93KA
11,El hombre no se cansa de la misma mujer 🦉#reflexion #amorpropio #crecimientopersonal #relaciones,27,23130,https://www.youtube.com/watch?v=PhoIN9hqRgE
12,"“Le puso 50 millones de cachos”, Niurka Marcos sobre #WilliamLevy y Elizabeth | #elgordoylaflaca",55,2717612,https://www.youtube.com/watch?v=aeadeQ4adv4
13,#maternidad,52,59286,https://www.youtube.com/watch?v=4nk4dnNFqE4
14,🚨El FIN de ESPAÑA 🚨 La Baja por Regla Dolorosa,59,28,https://www.youtube.com/watch?v=lO-VPdYCHFY
15,2 GORDOFÓBICOS DISCUTIENDO #psicologia #worldcast #relaciones #relacionestóxicas #amor #realidad,57,12489,https://www.youtube.com/watch?v=QwBIJYm6rO8
16,Lenguaje inclusivo 🤷- #shorts #feminismo #lenguajeinclusivo,33,4042,https://www.youtube.com/watch?v=Q_p3Jlky90s
17,mensaje de #laMars,74,1280,https://www.youtube.com/watch?v=JMeixaBkzmA
18,¿Quién paga en la primera cita? #caradura #feministas #micromachismo #meme,55,1534,https://www.youtube.com/watch?v=0VXKs2A0ybY
19,No soy Feminista #feministas #meme #funny #love #fypシ #noticias #trending #viral,56,3611,https://www.youtube.com/watch?v=d-H2OQEE9e0
20,#carlagaleote #podemos #feministas,58,193115,https://www.youtube.com/watch?v=YqKq_v3YXwg
21,EL SUFRIMIENTO POR SER MUJER #carlagaleote #feministas #cortos,46,35033,https://www.youtube.com/watch?v=mtIXWuRztXQ
22,Mensajes para Feministas #shortsvideo #feminismo,52,1705,https://www.youtube.com/watch?v=28qnZd1QNvk
23,Feminismo radical/8m #feminismo  #feminismoradical #radical #mujer #mujeres #shorts #viral #odio #8m,60,568,https://www.youtube.com/watch?v=6GUPfJJV4pY
24,“El FEMINISMO NO busca la IGUALDAD”#feminismo #8m #igualdad #patriarcado,57,499,https://www.youtube.com/watch?v=vn9J__MqxdE
25,"Amara La Negra y la Dra Nancy saben como evitar que te hagan ""bingo"" #DesigualesTV",32,267790,https://www.youtube.com/watch?v=Ez9aytWZMMQ
26,#Feminista ¿Quién es verdadera feminista para mi? #aboga2 #custodiacompartida #mujer #mujeresfuertes,29,18301,https://www.youtube.com/watch?v=GKp2C_ZkrI8
27,El feminismo es hipocresía pura,29,109546,https://www.youtube.com/watch?v=LlU4fUBAx3Q
28,Mujer católica no baja de “pir#%” a influencer por su outfit,54,3011421,https://www.youtube.com/watch?v=k0imHLis2_o
29,ME AMENAZÓ UN ALIADE.,296,172651,https://www.youtube.com/watch?v=6x2vd9wBnaE
30,"""Los hombres no sirven para n4da"" (DEBATE ÉPICO CON F3MINI$TA) | Emmanuel Danann",387,1028483,https://www.youtube.com/watch?v=U1FDkmTtQgE
31,El Feminismo da Muchísimo Dinero #negocio #feminismo #debate,54,11334,https://www.youtube.com/watch?v=V1FqZmoQTt4
32,Feministas quieren meter padres a la cárcel #podcast #ideologiadegenero #feminismo #noticias,60,8258,https://www.youtube.com/watch?v=I0HnU8KZtO8
33,Samantha Hudson es un aboga por la p3rversi0n #feminismo #perversion #feminista,59,349744,https://www.youtube.com/watch?v=jHg44OWsbVQ
34,¿Padres ausentes o padres migrantes? #podcast #feminismo #ideologiadegenero #opinion,60,13552,https://www.youtube.com/watch?v=MpF6XCzjhBE
35,EL FEMINISMO CONSIENTE A LAS MUJERES #feminismo #cortos,58,18768,https://www.youtube.com/watch?v=6Xm3tFlHmmg
36,Debate completo en nuestro canal,49,122613,https://www.youtube.com/watch?v=-SHBGbnTBN4
37,Las niñas y adolescentes de hoy pueden ser feministas🤩 #feminismo #parati #youtube #ideas,54,9732,https://www.youtube.com/watch?v=sB7ec2DMIpU
38,🦄 RIDICULO 👀 FEMINISTA HUMILLADA EN DIRECTO EN LA SEXTA #shorts #feminista #igualdad #lgtbi #lasexta,51,78,https://www.youtube.com/watch?v=DI6Wc95746M
39,Quema de brujas feminista #compas #feminismo #ideologiadegenero #opinion #machismo,41,45993,https://www.youtube.com/watch?v=esDCouAMbjs
40,#newderecha #libertad #ideologiadegenero #faminismo #hembrismo #politica #hombres #mujeres #idiotas,59,1947,https://www.youtube.com/watch?v=Xc6uHhYtDAY
41,Feministes #ideologiadegenero #igualdad #feminismo,36,2386,https://www.youtube.com/watch?v=M3PxZxXz1fI
42,La definición de mujer de Irene Montero #endikafl #liberalismo #españa #ideologiadegenero #milei,59,2676,https://www.youtube.com/watch?v=p8A8XzJSzQg
43,"Sobre las campanadas de Cristina Pedroche, Jenni Hermoso y el feminismo #endikafl #ideologiadegenero",59,957,https://www.youtube.com/watch?v=OoxPI3Aaph0
44,👀EL JINCHO DESMONTA LA IDEOLOGIA DE IRENE MONTERO #shorts #irenemontero #eljincho #ideologiadegenero,53,69065,https://www.youtube.com/watch?v=qd0_dRQpaaE
45,Verónica Valenzuela: la violencia debe ser combatida sin etiquetas de género ni sexo,60,207,https://www.youtube.com/watch?v=kiNtv_0bAac
46,Progresismo | Modernidad,56,487,https://www.youtube.com/watch?v=01vPBwuybUI
47,Feministas  y Auto descompuesto,17,397,https://www.youtube.com/watch?v=wReRoIKF8ho
48,Identidad de género | William Thomas,56,1882,https://www.youtube.com/watch?v=LYpCUuN2pJg
49,Ceder la chaqueta es micromachismo #micromachismo #feministas #meme #funny #love #fypシ,59,2349,https://www.youtube.com/watch?v=53btKT7eD-U
50,Los micromachismos son el verdadero problema,58,24539,https://www.youtube.com/watch?v=Rvo8PYb_0cw
51,"Chocolatadas y perreo  Ministerio de Igualdad, Gobierno de España",37,5546,https://www.youtube.com/watch?v=dEIWmMObjDM
52,Señales de #micromachismo en nuestro día a día ⚠️👩🏽✋🏽👨🏻 #ElGustoDeEllas 💁🏻‍♀️ | EGDL12 📻,60,153,https://www.youtube.com/watch?v=IV4uVDOUuJ4
53,MICROMACHISMOS,57,274,https://www.youtube.com/watch?v=oACTaFWGhOg
54,MICROMACHISMO #short,7,5133,https://www.youtube.com/watch?v=F5zqJjjYdKo
55,Micromachismos #monologo #comedia #humor #machismo #realidad #edad #hijos,46,124,https://www.youtube.com/watch?v=QEv27nHedgw
56,¿Qué son los MICROMACHISMOS? 👾 2 Posibles explicaciones,14,3522,https://www.youtube.com/watch?v=Bnh8j9MGxv0
57,¿Ser caballeroso es machismo?,43,356,https://www.youtube.com/watch?v=zU8GogK7j9g
58,Los cupos de género son desigualdad,29,162347,https://www.youtube.com/watch?v=BKhFgdQi_G0
59,FRANK: NO SE PUEDE DECIR NADA,53,216644,https://www.youtube.com/watch?v=sJ0ILNpL-8E
60,El impacto de los roles de género en las redes sociales,52,101,https://www.youtube.com/watch?v=VHU472kX4C4
61,Las relaciones sociales y el papel de género,55,13660,https://www.youtube.com/watch?v=AHlnN0c9Vz4
62,🚨La mujer Empoderada NO es como crees🤦‍♂️,33,7542,https://www.youtube.com/watch?v=0FVzcgxrcLs
63,La BRECHA SALARIAL NO EXISTE #shorts,39,3072,https://www.youtube.com/watch?v=cK0YeB88-_o
64,El PRIVILEGIO DE SER HOMBRE,59,246228,https://www.youtube.com/watch?v=5jZTIXLaaOE
65,NO ES UN PRIVILEGIO SER HOMBRE,45,20248,https://www.youtube.com/watch?v=6VMl5TdGfDw
66,El privilegio de ser hombre??,45,37,https://www.youtube.com/watch?v=ekCm5PS58jo
67,EL PRIVILEGIO DE SER HOMBRE,34,1653,https://www.youtube.com/watch?v=2oi9ZVOsNlo
68,Privilegios del hombre #feminismo #Hombre #Mujer #igualdaddegenero,42,5450,https://www.youtube.com/watch?v=LvUrS03hhlM
69,"El ""patriarcado"" y las mujeres #patriarcado #feminismo #economia #politica #liberalismo",21,10098,https://www.youtube.com/watch?v=ZqaRLzDdstg
70,El Patriarcado existe? actualmente?#transgeneros #bisexual#lgtbespaña #machoalfa#patriarcado#hombre,37,3018,https://www.youtube.com/watch?v=dBLiOltdRp0
71,Los celos son cosa del patriarcado,55,3011,https://www.youtube.com/watch?v=tFVu3pnD63w
72,¿El PATRIARCADO es un invento FEMINISTA? 😳 | Juan Miguel Zunzunegui #69,58,50607,https://www.youtube.com/watch?v=aLDZBR8XDaY
73,No LIGO por ser GORDA | #feminismo #machismo #gordofobia,24,1058065,https://www.youtube.com/watch?v=Bda1Ttox9mQ
74,HE-MAN hombre blanco hetero machista opresor #humor #feminismo #machismo #inclusion,40,481,https://www.youtube.com/watch?v=R7HjnzewwdA
75,Los HOMBRES OPRIMEN a las MUJERES 👀🤷🏻‍♂️ #feminismo #shorts #youtubeshorts #viral #viralvideo,36,9451,https://www.youtube.com/watch?v=84AGDqjZFmw
76,"MACHO OPRESOR Y PATRIARCAL, TE ATIENDE DANNAN | Jorge Libertad 🗽",60,390852,https://www.youtube.com/watch?v=eMcYc06pZ9Q
77,"Marcela vs DANANN, igualdad de género destruida | Jorge Libertad 🗽",57,2473023,https://www.youtube.com/watch?v=cV1pQZV0uH0
78,El padre machista | sígueme en ig lavidadealex_ #humor #comedia #padre,55,107942,https://www.youtube.com/watch?v=wntgEJa1m-w
79,HOMBRE MACHISTA ES PUESTO EN SU LUGAR 🥺🥺🥺☝️,31,14114,https://www.youtube.com/watch?v=F9N-HTZfXjA
80,La tía machista #humor #comedia,39,121819,https://www.youtube.com/watch?v=M3_dhzLsl7s
81,Mi marido es un machista! #machista #meme #8m #feministas #funny,57,2737,https://www.youtube.com/watch?v=SKluVX2wLUU
82,Le acusan de ser machista y responde esto. #feminismo #machismo #política #80s #tv #entrevista,24,264184,https://www.youtube.com/watch?v=34B7HAGKD_o
83,La pregunta machista que hice a Chanel 😰,42,3216270,https://www.youtube.com/watch?v=5uIhqmX515Q
84,El varón es asesino por ser varón machista | Jorge Libertad 🗽,57,462109,https://www.youtube.com/watch?v=MN3AjPKJCGA
85,MI TÍO MENOS MACHISTA,13,1689,https://www.youtube.com/watch?v=HsArrj64rFk
86,WTF GERMAN MACHISTA?,16,604,https://www.youtube.com/watch?v=DDKZioujniY
87,un chiste machista,9,1794,https://www.youtube.com/watch?v=UZtjfPLHhb4
88,HOMBRES vs MUJERES 🏝️ #shorts #feminismo #youtubeshorts #viral #viralvideo #shortvideo #short,32,12699,https://www.youtube.com/watch?v=ZcAj8ZtAJYY
89,MERNUEL MACHISTA,16,489452,https://www.youtube.com/watch?v=2A27yqCKN7Q
90,"MARA JIMÉNEZ ACUSA PÚBLICAMENTE a RESCUEYOU de MACHISTA, HOMÓFOBO y GORDÓFOBO | DoctorFem #shorts",58,401,https://www.youtube.com/watch?v=rvf31AR29yE
91,illojuan machista,9,854,https://www.youtube.com/watch?v=FnrV3qonhY8
92,Se utiliza bien la palabra #machista?,61,1215,https://www.youtube.com/watch?v=GK6eONcUEZg
93,como? cyqve machista ?,13,261,https://www.youtube.com/watch?v=O34hRQeIHjM
94,Machismo en la carrera de la mujer? #feminismo #política #críticasocial,54,523,https://www.youtube.com/watch?v=NrNIJAxyKio
95,Desenmascarando el machismo en nuestra sociedad Todos somos responsables #podcast#feminismo#machismo,51,79244,https://www.youtube.com/watch?v=jkNqKc82U4M
96,"""Vístima "" triplemente oprimida 🤣 #podcast #machismo #humor #ideologiadegenero #entrevista #comedia",58,2476,https://www.youtube.com/watch?v=oYpPswPaBWc
97,Like si tú también te identificas como Ironman#mujeres #trans #transgenero #transfobia #feminista,41,1184411,https://www.youtube.com/watch?v=20otbcj_-js
98,"Respondo a TR4NS ""no binarie"" 😵‍💫",57,10981112,https://www.youtube.com/watch?v=fDMbU0mgmVw
99,Qué significa NO BINARIO | #leytrans #binario #nobinario #humor,32,74142,https://www.youtube.com/watch?v=ly1Og_-LWOI
